,Target,Feature_1,Feature_2,Feature_3,Feature_4,JPG_PATH
0,1,0.608398,0.498047,0.541016 ,0.531250,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1009.jpeg
1,1,0.496094,0.384766,0.960938 ,0.753906,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1017.jpeg
2,1,0.445312,0.483398,0.808594 ,0.634766,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1018.jpeg
3,1,0.494141,0.350586,0.730469 ,0.611328,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1020.jpeg
4,1,0.601562,0.448242,0.570312 ,0.595703,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1024.jpeg
5,0,0.496094,0.411133,0.503906 ,0.494141,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1026.jpeg
6,0,0.476562,0.285156,0.070312 ,0.062500,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
7,0,0.480469,0.169922,0.054688 ,0.082031,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
8,0,0.148438,0.235352,0.070312 ,0.091797,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
9,0,0.420898,0.489258,0.064453 ,0.041016,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
10,0,0.767578,0.408203,0.042969 ,0.066406,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
11,0,0.742188,0.637695,0.082031 ,0.064453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
12,0,0.446289,0.706055,0.068359 ,0.056641,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
13,0,0.542969,0.812500,0.050781 ,0.066406,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
14,0,0.764648,0.923828,0.064453 ,0.062500,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
15,0,0.166992,0.817383,0.083984 ,0.044922,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
16,0,0.396484,0.956055,0.058594 ,0.037109,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
17,0,0.205078,0.889648,0.042969 ,0.041016,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1028.jpeg
18,0,0.513672,0.500977,0.785156 ,0.998047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1041.jpeg
19,0,0.538086,0.448242,0.712891 ,0.759766,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1053.jpeg
20,0,0.532227,0.441406,0.634766 ,0.671875,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_106.jpeg
21,0,0.308594,0.951172,0.347656 ,0.097656,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_106.jpeg
22,0,0.938477,0.728516,0.123047 ,0.113281,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_106.jpeg
23,0,0.096680,0.494141,0.150391 ,0.226562,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_106.jpeg
24,1,0.375977,0.464844,0.611328 ,0.648438,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1068.jpeg
25,1,0.497070,0.493164,0.966797 ,0.970703,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1079.jpeg
26,0,0.465820,0.350586,0.806641 ,0.583984,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1082.jpeg
27,0,0.469727,0.708008,0.259766 ,0.248047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1082.jpeg
28,0,0.498047,0.512695,0.914062 ,0.728516,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1083.jpeg
29,0,0.515625,0.531250,0.828125 ,0.777344,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1094.jpeg
30,1,0.491211,0.515625,0.509766 ,0.628906,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1095.jpeg
31,0,0.461914,0.575195,0.919922 ,0.587891,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_110.jpeg
32,0,0.118164,0.125977,0.232422 ,0.232422,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_110.jpeg
33,0,0.689453,0.189453,0.199219 ,0.132812,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_110.jpeg
34,0,0.169922,0.865234,0.335938 ,0.253906,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_110.jpeg
35,0,0.349609,0.043945,0.203125 ,0.083984,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_110.jpeg
36,0,0.894531,0.080078,0.207031 ,0.156250,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_110.jpeg
37,1,0.477539,0.457031,0.853516 ,0.855469,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1114.jpeg
38,0,0.490234,0.492188,0.957031 ,0.980469,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1119.jpeg
39,0,0.471680,0.552734,0.333984 ,0.339844,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1123.jpeg
40,0,0.480469,0.494141,0.957031 ,0.808594,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1129.jpeg
41,1,0.519531,0.530273,0.792969 ,0.888672,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_113.jpeg
42,1,0.553711,0.640625,0.455078 ,0.343750,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1130.jpeg
43,1,0.194336,0.942383,0.212891 ,0.115234,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1130.jpeg
44,0,0.554688,0.524414,0.890625 ,0.810547,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_114.jpeg
45,1,0.401367,0.470703,0.755859 ,0.585938,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1140.jpeg
46,1,0.921875,0.197266,0.156250 ,0.324219,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1140.jpeg
47,1,0.527344,0.633789,0.761719 ,0.732422,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1146.jpeg
48,1,0.520508,0.528320,0.833984 ,0.623047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1166.jpeg
49,0,0.512695,0.544922,0.833984 ,0.484375,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1168.jpeg
50,0,0.491211,0.526367,0.978516 ,0.634766,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1171.jpeg
51,1,0.477539,0.502930,0.685547 ,0.408203,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1173.jpeg
52,0,0.486328,0.477539,0.968750 ,0.951172,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1174.jpeg
53,0,0.481445,0.508789,0.939453 ,0.802734,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1177.jpeg
54,1,0.766602,0.715820,0.455078 ,0.564453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1192.jpeg
55,1,0.337891,0.271484,0.339844 ,0.414062,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1192.jpeg
56,1,0.539062,0.427734,0.703125 ,0.851562,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1193.jpeg
57,0,0.446289,0.502930,0.740234 ,0.947266,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1198.jpeg
58,1,0.447266,0.469727,0.835938 ,0.927734,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1210.jpeg
59,0,0.507812,0.473633,0.800781 ,0.814453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1211.jpeg
60,0,0.475586,0.439453,0.939453 ,0.683594,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1214.jpeg
61,1,0.462891,0.473633,0.886719 ,0.501953,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1215.jpeg
62,1,0.581055,0.448242,0.466797 ,0.326172,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_122.jpeg
63,0,0.463867,0.542969,0.365234 ,0.386719,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1221.jpeg
64,0,0.507812,0.570312,0.937500 ,0.707031,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1242.jpeg
65,1,0.478516,0.509766,0.898438 ,0.785156,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1258.jpeg
66,1,0.495117,0.531250,0.951172 ,0.910156,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_126.jpeg
67,0,0.486328,0.464844,0.886719 ,0.648438,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1260.jpeg
68,0,0.803711,0.899414,0.314453 ,0.201172,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1260.jpeg
69,0,0.540039,0.506836,0.716797 ,0.685547,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_129.jpeg
70,0,0.500000,0.506836,0.996094 ,0.947266,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_131.jpeg
71,0,0.492188,0.572266,0.859375 ,0.851562,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1314.jpeg
72,0,0.485352,0.499023,0.947266 ,0.814453,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1317.jpeg
73,1,0.485352,0.556641,0.685547 ,0.476562,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1320.jpeg
74,0,0.473633,0.602539,0.544922 ,0.533203,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1332.jpeg
75,0,0.845703,0.170898,0.292969 ,0.248047,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1332.jpeg
76,0,0.878906,0.423828,0.238281 ,0.234375,C:\Users\Dell\Downloads\Weed_Detection5a431d7\data\agri_0_1332.jpeg
